image_index,image_name,image_path,strategy,k,n_agents,n_iters,seed,woa_b,share_interval,fe_best,time_sec,thresholds,jitter_fe_original,jitter_fe_mean,jitter_fe_std,jitter_fe_min,jitter_fe_max,conv_fe_first,conv_fe_last,conv_fe_last_mean,conv_fe_last_std,conv_fe_improvement
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA1,10,30,100,42,1.0,6,0.046487177340757926,2.6751668453216553,"7,8,11,16,27,28,43,250,251,254",0.046487177340757926,0.04566362786946807,0.00027768688046775727,0.044960831670422974,0.046487177340757926,0.04469626264312878,0.046487177340757926,0.046487177340757926,0.0,0.0017909146976291465
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA2,10,30,100,42,1.0,6,0.04631130714783076,2.853147268295288,"1,2,3,54,246,248,249,250,251,254",0.04631130714783076,0.04610581944740212,0.00012082239829908562,0.04585156243313034,0.04632205762670181,0.04469626264312878,0.04631130714783076,0.04631130714783076,0.0,0.0016150445047019776
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA3,10,30,100,42,1.0,6,0.04643714450326844,2.8151791095733643,"1,2,60,243,244,247,248,250,251,254",0.04643714450326844,0.046192880730607705,0.00011187767048034107,0.045942445170816595,0.04643714450326844,0.04469626264312878,0.04643714450326844,0.04637208275027681,7.270658872636453e-05,0.0017408818601396606
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA4,10,30,100,42,1.0,6,0.04640543405913038,2.8255107402801514,"61,243,244,245,246,247,248,250,251,254",0.04640543405913038,0.04620210036855866,0.00013123126988150773,0.04584653259973023,0.04640543405913038,0.04469626264312878,0.04640543405913038,0.04635569062224605,0.00010446447779344425,0.0017091714160015967
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA5,10,30,100,42,1.0,6,0.04691093471427042,5.792860984802246,"1,4,5,8,9,12,13,48,251,252",0.04691093471427042,0.045908915550791254,0.0003000821800368033,0.04547635487978672,0.04691093471427042,0.04579767953363589,0.04691093471427042,0.04689869330560502,1.8699060607363053e-05,0.0011132551806345287
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA1,10,30,100,42,1.0,6,0.0352166184380259,2.81265926361084,"1,2,4,9,14,19,30,71,234,246",0.0352166184380259,0.03513979252658408,3.942398016147483e-05,0.03508071715519408,0.0352166184380259,0.03467281068111283,0.0352166184380259,0.035216618438025905,6.938893903907228e-18,0.0005438077569130673
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA2,10,30,100,42,1.0,6,0.03538572313469361,2.695854663848877,"1,11,100,187,200,235,243,250,251,254",0.03538572313469361,0.03457545181389567,0.0004348071193187773,0.033729925806674735,0.03538572313469361,0.03473994714866381,0.03538572313469361,0.03538572313469361,0.0,0.0006457759860298007
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA3,10,30,100,42,1.0,6,0.035235430040572044,2.625502586364746,"7,20,112,155,160,188,209,240,251,252",0.035235430040572044,0.034355063789069065,0.0005322597469504219,0.03340608863617295,0.035235430040572044,0.03467281068111283,0.035235430040572044,0.035203458877022586,1.662107216039408e-05,0.0005626193594592127
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA4,10,30,100,42,1.0,6,0.03544258021827819,2.6841392517089844,"17,25,175,231,234,237,239,250,251,254",0.03544258021827819,0.03467685914863855,0.00043823781481494,0.03378215073926111,0.03544258021827819,0.03473994714866381,0.03544258021827819,0.03538566448661671,5.692202848707415e-05,0.0007026330696143779
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA5,10,30,100,42,1.0,6,0.03543179408477087,5.403411626815796,"1,2,3,10,13,24,73,236,251,252",0.03543179408477087,0.03461988351267307,0.0005437655561908727,0.03367959310618311,0.03543179408477087,0.03467281068111283,0.03543179408477087,0.03542229622908679,1.899571136816658e-05,0.0007589834036580423
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA1,10,30,100,42,1.0,6,0.04826421593329476,2.9248287677764893,"2,4,6,9,16,18,59,226,227,242",0.04826421593329476,0.048197757747019385,3.0259052848515484e-05,0.04811385438254641,0.04826421593329476,0.04603543215706709,0.04826421593329476,0.04826310845551969,3.3224333252070142e-06,0.0022287837762276705
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA2,10,30,100,42,1.0,6,0.04833146901507795,2.9120984077453613,"1,3,4,5,6,7,8,68,223,224",0.04833146901507795,0.048276638810609306,6.805395354413042e-05,0.04813488370188786,0.04835979251467454,0.045905768509233585,0.04833146901507795,0.04833146901507795,0.0,0.0024257005058443623
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA3,10,30,100,42,1.0,6,0.0482217328371224,2.90425968170166,"1,2,6,7,8,23,24,51,227,228",0.0482217328371224,0.048157679270113316,3.655797323204016e-05,0.04806694946603274,0.0482217328371224,0.04603543215706709,0.0482217328371224,0.048211812847147276,6.68443893347714e-06,0.002186300680055313
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA4,10,30,100,42,1.0,6,0.048116182180004415,2.9489400386810303,"1,2,3,4,5,6,7,8,69,208",0.048116182180004415,0.04805786736890684,2.762304874071456e-05,0.04798604249250146,0.048116182180004415,0.045905768509233585,0.048116182180004415,0.048116182180004415,0.0,0.002210413670770829
2,102061.jpg,dataset/BDS500/images/val\102061.jpg,PA5,10,30,100,42,1.0,6,0.04843274396499107,5.50731635093689,"1,2,3,4,5,67,220,228,243,248",0.04843274396499107,0.0483530569045025,5.51029168910846e-05,0.04825636447129552,0.048436022343784,0.04707212603581684,0.04843274396499107,0.048432743964991073,6.938893903907228e-18,0.0013606179291742251
3,103070.jpg,dataset/BDS500/images/val\103070.jpg,PA1,10,30,100,42,1.0,6,0.047270338888647456,2.606255292892456,"1,2,5,7,15,16,41,196,197,204",0.047270338888647456,0.047208475128186406,3.189460393160318e-05,0.04712500952720845,0.047270338888647456,0.045937774083097946,0.047270338888647456,0.04726568071807334,9.31634114823554e-06,0.0013325648055495104
3,103070.jpg,dataset/BDS500/images/val\103070.jpg,PA2,10,30,100,42,1.0,6,0.04727275024336996,2.6374073028564453,"2,3,4,8,10,11,12,45,192,193",0.04727275024336996,0.04722254173073452,2.6944870616538086e-05,0.04716487737931942,0.04727275024336996,0.04707125727022042,0.04727275024336996,0.04725918760104557,7.675995085254344e-06,0.00020149297314953768
3,103070.jpg,dataset/BDS500/images/val\103070.jpg,PA3,10,30,100,42,1.0,6,0.0472764468244877,2.5935473442077637,"1,2,3,4,5,6,7,49,188,189",0.0472764468244877,0.04723846521925341,2.1392059270636218e-05,0.047209914294819515,0.047279148726071106,0.045937774083097946,0.0472764468244877,0.047276022110166294,6.487618422039456e-07,0.0013386727413897542
3,103070.jpg,dataset/BDS500/images/val\103070.jpg,PA4,10,30,100,42,1.0,6,0.047245319688765886,2.622358798980713,"1,3,4,5,6,9,15,40,199,204",0.047245319688765886,0.04719478225464006,2.7498406131133803e-05,0.047140218395708484,0.047245319688765886,0.04707125727022042,0.047245319688765886,0.047241535181002395,2.477541899190212e-06,0.00017406241854546478
3,103070.jpg,dataset/BDS500/images/val\103070.jpg,PA5,10,30,100,42,1.0,6,0.04729257731090511,5.520307779312134,"1,2,4,7,8,9,47,190,191,194",0.04729257731090511,0.04722398777150763,3.27529918934204e-05,0.047153263673842066,0.04729257731090511,0.04654103786981709,0.04729257731090511,0.0472925773109051,6.938893903907228e-18,0.0007515394410880227
4,105025.jpg,dataset/BDS500/images/val\105025.jpg,PA1,10,30,100,42,1.0,6,0.040768516230772836,3.077561140060425,"5,7,8,9,25,27,89,236,251,252",0.040768516230772836,0.03934340098922319,0.0008647831616229689,0.03765253638013495,0.040768516230772836,0.039921909717635304,0.040768516230772836,0.040768256912346104,5.186368534582097e-07,0.0008466065131375322
4,105025.jpg,dataset/BDS500/images/val\105025.jpg,PA2,10,30,100,42,1.0,6,0.04067403587886623,2.979811429977417,"17,39,64,103,212,213,228,242,251,254",0.04067403587886623,0.03967011989136205,0.0005430154305714629,0.03878937344629323,0.04067403587886623,0.039921909717635304,0.04067403587886623,0.04067403587886622,6.938893903907228e-18,0.0007521261612309232
4,105025.jpg,dataset/BDS500/images/val\105025.jpg,PA3,10,30,100,42,1.0,6,0.04072315018564175,2.9968886375427246,"14,22,82,136,165,172,227,250,251,254",0.04072315018564175,0.03910289611373555,0.0007252265425106952,0.03787584315479694,0.04072315018564175,0.039921909717635304,0.04072315018564175,0.04072315018564175,0.0,0.0008012404680064478
4,105025.jpg,dataset/BDS500/images/val\105025.jpg,PA4,10,30,100,42,1.0,6,0.0408128198241731,2.824552059173584,"1,2,3,39,58,67,235,250,251,254",0.0408128198241731,0.03921418563200315,0.0007404276817230887,0.03793342555552001,0.0408128198241731,0.039921909717635304,0.0408128198241731,0.04076826271932978,2.916947224180103e-05,0.0008909101065377942
4,105025.jpg,dataset/BDS500/images/val\105025.jpg,PA5,10,30,100,42,1.0,6,0.04094052274197024,5.2913477420806885,"1,2,3,35,135,192,243,250,251,254",0.04094052274197024,0.03922713199283847,0.0007586836060425864,0.03789380513944424,0.04094052274197024,0.03993075640867014,0.04094052274197024,0.04094052274197024,0.0,0.001009766333300105
5,106024.jpg,dataset/BDS500/images/val\106024.jpg,PA1,10,30,100,42,1.0,6,0.04782529353352004,2.600787878036499,"1,2,3,4,11,17,19,20,223,224",0.04782529353352004,0.04771308035743255,6.385651182432635e-05,0.04758207321099354,0.04782529353352004,0.046665493011582196,0.04782529353352004,0.047801533670099115,1.2031257165697219e-05,0.0011598005219378427
5,106024.jpg,dataset/BDS500/images/val\106024.jpg,PA2,10,30,100,42,1.0,6,0.04787810167506065,2.627023935317993,"2,4,7,9,10,13,14,17,223,224",0.04787810167506065,0.04777426472940967,5.500411917246901e-05,0.04767263460689275,0.04787810167506065,0.04748584751694774,0.04787810167506065,0.047831747090885536,3.491263495074576e-05,0.00039225415811291325
5,106024.jpg,dataset/BDS500/images/val\106024.jpg,PA3,10,30,100,42,1.0,6,0.047695962318782786,2.6400134563446045,"3,17,19,20,40,43,60,63,203,230",0.047695962318782786,0.0475735681068201,5.7247425379491596e-05,0.04745363688401752,0.047695962318782786,0.046665493011582196,0.047695962318782786,0.04769596231878279,6.938893903907228e-18,0.0010304693072005905
5,106024.jpg,dataset/BDS500/images/val\106024.jpg,PA4,10,30,100,42,1.0,6,0.047931929058917314,2.7414774894714355,"1,2,5,6,7,8,9,16,223,224",0.047931929058917314,0.04781418356429413,5.6954346175124655e-05,0.047707957147158454,0.047931929058917314,0.04748584751694774,0.047931929058917314,0.047931929058917314,0.0,0.00044608154196957434
5,106024.jpg,dataset/BDS500/images/val\106024.jpg,PA5,10,30,100,42,1.0,6,0.04793097111261315,5.821819543838501,"1,2,3,5,6,7,8,14,223,224",0.04793097111261315,0.047817604430172855,5.5012902135270994e-05,0.04771592497889675,0.04793097111261315,0.04673732535691463,0.04793097111261315,0.047930971112613144,6.938893903907228e-18,0.0011936457556985178
6,108005.jpg,dataset/BDS500/images/val\108005.jpg,PA1,10,30,100,42,1.0,6,0.04825022721623078,2.9376094341278076,"1,2,3,4,5,6,39,250,251,254",0.04825022721623078,0.04809534936421619,6.005148676553129e-05,0.047989669210013054,0.04825022721623078,0.04586805640356497,0.04825022721623078,0.04825022721623078,0.0,0.0023821708126658125
6,108005.jpg,dataset/BDS500/images/val\108005.jpg,PA2,10,30,100,42,1.0,6,0.048186647866620164,3.2099244594573975,"1,2,3,4,5,6,7,8,38,254",0.048186647866620164,0.04811682645510965,4.2680718676742484e-05,0.04800933887955808,0.048186647866620164,0.0458883259060898,0.048186647866620164,0.04818664786662017,6.938893903907228e-18,0.0022983219605303626
6,108005.jpg,dataset/BDS500/images/val\108005.jpg,PA3,10,30,100,42,1.0,6,0.04633222158065513,2.7777669429779053,"6,69,117,118,121,122,125,138,141,216",0.04633222158065513,0.04567424223777132,0.0003684139704502684,0.04504426105609988,0.04633222158065513,0.04586805640356497,0.04633222158065513,0.04629995456407776,1.0947433788280253e-05,0.00046416517709015753
6,108005.jpg,dataset/BDS500/images/val\108005.jpg,PA4,10,30,100,42,1.0,6,0.04794082643139334,2.605513572692871,"9,10,55,244,245,246,249,250,251,254",0.04794082643139334,0.047817934858261205,7.508871871896314e-05,0.04766950774402662,0.04794082643139334,0.0458883259060898,0.04794082643139334,0.04792200038006136,1.4971547208176832e-05,0.0020525005253035356
